"Timestamp","Any feedback?"
"2025/02/10 3:52:22 pm CET","Great introduction to uppmax and linux, learned a lot!"
"2025/02/10 3:54:04 pm CET","I enjoyed the teacher's way of interacting and engaging with us students. Making it feel like a safe environment for asking questions. 

Also liked working in smaller breakout rooms bit the downside being some interactions where more fruitful than others. Where it feels you can easily get lost and not follow if not everyone is on board of the students. 

But all in all a very useful session!"
