question,mean
I can create a bash script,4.25
I can do basic things in the Pelle remote desktop,4.5
I can do basic things in the terminal,4.5
I can find and load a software module,4
I can find my home folder,4.5
I can log in to Pelle using a terminal,4.75
I can log in to the Pelle remote desktop using the website,4.75
I can schedule a job,4
I can start a terminal text editor,4.5
I can start an IDE,2.75
I can start an interactive session,3.75
I can transfer files to/from Pelle,4.25
