question,mean
I can create a bash script,4
I can do basic things in the Pelle remote desktop,4.8
I can do basic things in the terminal,5
I can find and load a software module,4.6
I can find my home folder,5
I can log in to Pelle using a terminal,5
I can log in to the Pelle remote desktop using the website,5
I can schedule a job,4
I can start a terminal text editor,5
I can start an IDE,4.4
I can start an interactive session,4.2
I can transfer files to/from Pelle,4.4
